Lipid ID	Lipid name	GO ID	GO term	Taxon ID	Taxon scientific name	Evidence tag ID
SLM:000056556	Phosphatidylcholine (40:10)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7559
SLM:000056559	Phosphatidylcholine (40:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7509
SLM:000056560	Phosphatidylcholine (40:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7560
SLM:000056560	Phosphatidylcholine (40:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10761
SLM:000056561	Phosphatidylcholine (40:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7188 | 7508
SLM:000056561	Phosphatidylcholine (40:6)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7189
SLM:000056561	Phosphatidylcholine (40:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7190 | 10760
SLM:000056562	Phosphatidylcholine (40:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7486
SLM:000056562	Phosphatidylcholine (40:7)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10759
SLM:000056563	Phosphatidylcholine (40:8)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7544
SLM:000056563	Phosphatidylcholine (40:8)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10758
SLM:000056564	Phosphatidylcholine (40:9)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7561
SLM:000056564	Phosphatidylcholine (40:9)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10757
SLM:000056579	Phosphatidylcholine (42:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7562
SLM:000056580	Phosphatidylcholine (42:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7563
SLM:000056581	Phosphatidylcholine (42:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7564
SLM:000056582	Phosphatidylcholine (42:8)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7565
SLM:000056839	Phosphatidylcholine (O-32:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10732
SLM:000056840	Phosphatidylcholine (O-32:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7510
SLM:000056840	Phosphatidylcholine (O-32:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10730
SLM:000056853	Phosphatidylcholine (O-34:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10762
SLM:000056854	Phosphatidylcholine (O-34:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10738
SLM:000056855	Phosphatidylcholine (O-34:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7491
SLM:000056855	Phosphatidylcholine (O-34:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10736
SLM:000056869	Phosphatidylcholine (O-36:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7474
SLM:000056869	Phosphatidylcholine (O-36:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10766
SLM:000056870	Phosphatidylcholine (O-36:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7497
SLM:000056870	Phosphatidylcholine (O-36:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10765
SLM:000056871	Phosphatidylcholine (O-36:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10764
SLM:000056872	Phosphatidylcholine (O-36:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7475
SLM:000056872	Phosphatidylcholine (O-36:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10763
SLM:000056874	Phosphatidylcholine (O-36:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7566
SLM:000056886	Phosphatidylcholine (O-38:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10771
SLM:000056887	Phosphatidylcholine (O-38:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10770
SLM:000056888	Phosphatidylcholine (O-38:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7517
SLM:000056888	Phosphatidylcholine (O-38:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10769
SLM:000056889	Phosphatidylcholine (O-38:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7567
SLM:000056889	Phosphatidylcholine (O-38:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10768
SLM:000056890	Phosphatidylcholine (O-38:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7534
SLM:000056890	Phosphatidylcholine (O-38:7)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10767
SLM:000056891	Phosphatidylcholine (O-38:8)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7568
SLM:000056902	Phosphatidylcholine (O-40:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7569
SLM:000056903	Phosphatidylcholine (O-40:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7512
SLM:000056905	Phosphatidylcholine (O-40:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7529
SLM:000056905	Phosphatidylcholine (O-40:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10774
SLM:000056906	Phosphatidylcholine (O-40:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7570
SLM:000056906	Phosphatidylcholine (O-40:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10773
